Date,China,Italy,Iran,US,Canada,Pakistan,India,Afghanistan,PakistanR,ChinaR,ItalyR,IranR,USR
23JAN2020,574.0,0.0,0.0,0.0,,0.0,,,0.0,3.9879838683356816e-07,0.0,0.0,0.0
24JAN2020,261.0,0.0,0.0,0.0,,0.0,,,0.0,1.8133515498878272e-07,0.0,0.0,0.0
25JAN2020,462.0,0.0,0.0,0.0,,0.0,,,0.0,3.209840674514085e-07,0.0,0.0,0.0
26JAN2020,688.0,0.0,0.0,0.0,,0.0,,,0.0,4.780022476332664e-07,0.0,0.0,0.0
27JAN2020,776.0,0.0,0.0,3.0,,0.0,,,0.0,5.391420700049632e-07,0.0,0.0,9.063371519643812e-09
28JAN2020,1800.0,0.0,0.0,3.0,,0.0,,,0.0,1.2505872757847085e-06,0.0,0.0,9.063371519643812e-09
29JAN2020,1500.0,0.0,0.0,3.0,,0.0,,,0.0,1.0421560631539238e-06,0.0,0.0,9.063371519643812e-09
30JAN2020,1700.0,0.0,0.0,3.0,,0.0,,,0.0,1.1811102049077802e-06,0.0,0.0,9.063371519643812e-09
31JAN2020,2000.0,0.0,0.0,3.0,,0.0,,,0.0,1.389541417538565e-06,0.0,0.0,9.063371519643812e-09
1FEB2020,2100.0,0.0,0.0,3.0,,0.0,,,0.0,1.4590184884154932e-06,0.0,0.0,9.063371519643812e-09
2FEB2020,2600.0,0.0,0.0,3.0,,0.0,,,0.0,1.8064038428001346e-06,0.0,0.0,9.063371519643812e-09
3FEB2020,2800.0,0.0,0.0,3.0,,0.0,,,0.0,1.945357984553991e-06,0.0,0.0,9.063371519643812e-09
4FEB2020,3200.0,0.0,0.0,3.0,,0.0,,,0.0,2.223266268061704e-06,0.0,0.0,9.063371519643812e-09
5FEB2020,3900.0,0.0,0.0,3.0,,0.0,,,0.0,2.7096057642002018e-06,0.0,0.0,9.063371519643812e-09
6FEB2020,3700.0,0.0,0.0,3.0,,0.0,,,0.0,2.570651622446345e-06,0.0,0.0,9.063371519643812e-09
7FEB2020,3200.0,0.0,0.0,3.0,,0.0,,,0.0,2.223266268061704e-06,0.0,0.0,9.063371519643812e-09
8FEB2020,3400.0,0.0,0.0,3.0,,0.0,,,0.0,2.3622204098155604e-06,0.0,0.0,9.063371519643812e-09
9FEB2020,2700.0,0.0,0.0,3.0,,0.0,,,0.0,1.8758809136770627e-06,0.0,0.0,9.063371519643812e-09
10FEB2020,3000.0,0.0,0.0,3.0,,0.0,,,0.0,2.0843121263078476e-06,0.0,0.0,9.063371519643812e-09
11FEB2020,2500.0,0.0,0.0,3.0,,0.0,,,0.0,1.7369267719232063e-06,0.0,0.0,9.063371519643812e-09
12FEB2020,2000.0,0.0,0.0,3.0,,0.0,,,0.0,1.389541417538565e-06,0.0,0.0,9.063371519643812e-09
13FEB2020,15200.0,0.0,0.0,3.0,,0.0,,,0.0,1.0560514773293095e-05,0.0,0.0,9.063371519643812e-09
14FEB2020,4000.0,0.0,0.0,3.0,,0.0,,,0.0,2.77908283507713e-06,0.0,0.0,9.063371519643812e-09
15FEB2020,2600.0,0.0,0.0,3.0,,0.0,,,0.0,1.8064038428001346e-06,0.0,0.0,9.063371519643812e-09
16FEB2020,2000.0,0.0,0.0,3.0,,0.0,,,0.0,1.389541417538565e-06,0.0,0.0,9.063371519643812e-09
17FEB2020,2100.0,0.0,0.0,3.0,,0.0,,,0.0,1.4590184884154932e-06,0.0,0.0,9.063371519643812e-09
18FEB2020,1900.0,0.0,0.0,3.0,,0.0,,,0.0,1.3200643466616368e-06,0.0,0.0,9.063371519643812e-09
19FEB2020,1800.0,0.0,0.0,3.0,,0.0,,,0.0,1.2505872757847085e-06,0.0,0.0,9.063371519643812e-09
20FEB2020,396.0,0.0,5.0,3.0,,0.0,,,0.0,2.7512920067263586e-07,0.0,5.95288064001658e-08,9.063371519643812e-09
21FEB2020,892.0,0.0,13.0,3.0,,0.0,,,0.0,6.197354722222e-07,0.0,1.547748966404311e-07,9.063371519643812e-09
22FEB2020,825.0,7.0,10.0,20.0,,0.0,,,0.0,5.731858347346581e-07,1.1577553082832794e-07,1.190576128003316e-07,6.042247679762541e-08
23FEB2020,649.0,121.0,15.0,20.0,,0.0,,,0.0,4.5090618999126434e-07,2.001262747175383e-06,1.785864192004974e-07,6.042247679762541e-08
24FEB2020,221.0,121.0,4.0,20.0,,0.0,,,0.0,1.5354432663801143e-07,2.001262747175383e-06,4.7623045120132645e-08,6.042247679762541e-08
25FEB2020,517.0,97.0,14.0,18.0,,0.0,,,0.0,3.5919645643371903e-07,1.6043180700496873e-06,1.6668065792046425e-07,5.4380229117862866e-08
26FEB2020,412.0,145.0,78.0,18.0,,0.0,,,0.0,2.862455320129444e-07,2.3982074243010787e-06,9.286493798425865e-07,5.4380229117862866e-08
27FEB2020,439.0,154.0,106.0,6.0,,0.0,,,0.0,3.05004341149715e-07,2.5470616782232146e-06,1.262010695683515e-06,1.8126743039287623e-08
28FEB2020,329.0,122.0,106.0,3.0,,0.0,,,0.0,2.2857956318509393e-07,2.017802108722287e-06,1.262010695683515e-06,9.063371519643812e-09
29FEB2020,435.0,238.0,348.0,3.0,,0.0,,,0.0,3.022252583146379e-07,3.93636804816315e-06,4.14320492545154e-06,9.063371519643812e-09
1MAR2020,574.0,240.0,348.0,3.0,,2.0,,,9.054184495487712e-09,3.9879838683356816e-07,3.9694467712569585e-06,4.14320492545154e-06,9.063371519643812e-09
2MAR2020,206.0,561.0,908.0,3.0,,2.0,,,9.054184495487712e-09,1.431227660064722e-07,9.278581827813139e-06,1.081043124227011e-05,9.063371519643812e-09
3MAR2020,129.0,347.0,835.0,2.0,,1.0,,,4.527092247743856e-09,8.962542143123745e-08,5.739158456775685e-06,9.94131066882769e-06,6.042247679762541e-09
4MAR2020,119.0,466.0,835.0,44.0,,1.0,,,4.527092247743856e-09,8.267771434354461e-08,7.70734248085726e-06,9.94131066882769e-06,1.329294489547759e-07
5MAR2020,143.0,587.0,1200.0,21.0,,1.0,,,4.527092247743856e-09,9.93522113540074e-08,9.708605228032643e-06,1.4286913536039792e-05,6.344360063750668e-08
6MAR2020,145.0,769.0,1200.0,19.0,,1.0,,,4.527092247743856e-09,1.0074175277154596e-07,1.271876902956917e-05,1.4286913536039792e-05,5.7401352957744136e-08
7MAR2020,103.0,778.0,1100.0,65.0,,1.0,,,4.527092247743856e-09,7.15613830032361e-08,1.2867623283491305e-05,1.3096337408036477e-05,1.9637304959228257e-07
8MAR2020,46.0,1200.0,743.0,65.0,,1.0,,,4.527092247743856e-09,3.1959452603387e-08,1.984723385628479e-05,8.845980631064638e-06,1.9637304959228257e-07
9MAR2020,45.0,1500.0,743.0,65.0,,1.0,,,4.527092247743856e-09,3.126468189461771e-08,2.480904232035599e-05,8.845980631064638e-06,1.9637304959228257e-07
10MAR2020,20.0,1800.0,595.0,259.0,,10.0,,,4.5270922477438555e-08,1.389541417538565e-08,2.9770850784427187e-05,7.083927961619731e-06,7.82471074529249e-07
11MAR2020,31.0,977.0,881.0,224.0,,10.0,,,4.5270922477438555e-08,2.1537891971847758e-08,1.61589562313252e-05,1.0488975687709215e-05,6.767317401334046e-07
12MAR2020,26.0,2300.0,958.0,291.0,,3.0,,,1.3581276743231567e-08,1.8064038428001345e-08,3.804053155787918e-05,1.1405719306271767e-05,8.791470374054496e-07
13MAR2020,26.0,2700.0,2400.0,277.0,,1.0,,,4.527092247743856e-09,1.8064038428001345e-08,4.4656276176640775e-05,2.8573827072079585e-05,8.368513036471118e-07
14MAR2020,40.0,2500.0,2400.0,414.0,,1.0,,,4.527092247743856e-09,2.77908283507713e-08,4.134840386725998e-05,2.8573827072079585e-05,1.2507452697108459e-06
15MAR2020,27.0,3500.0,1400.0,414.0,,7.0,,,3.168964573420699e-08,1.8758809136770626e-08,5.788776541416397e-05,1.6668065792046426e-05,1.2507452697108459e-06
16MAR2020,29.0,3600.0,2300.0,414.0,,24.0,,,1.0865021394585254e-07,2.0148350554309192e-08,5.9541701568854373e-05,2.738325094407627e-05,1.2507452697108459e-06
17MAR2020,930.0,3200.0,1200.0,1900.0,,135.0,,,6.111574534454205e-07,6.461367591554328e-07,5.2925956950092775e-05,1.4286913536039792e-05,5.7401352957744136e-06
18MAR2020,833.0,7700.0,1200.0,3600.0,,54.0,,,2.444629813781682e-07,5.787440004048123e-07,0.00012735308391116073,1.4286913536039792e-05,1.0876045823572573e-05
19MAR2020,126.0,7700.0,1200.0,3600.0,,187.0,,,8.329849735848694e-07,8.75411093049296e-08,0.00012735308391116073,1.4286913536039792e-05,1.0876045823572573e-05
20MAR2020,126.0,5300.0,1000.0,3400.0,,34.0,,,1.539211364232911e-07,8.75411093049296e-08,8.765861619859116e-05,1.190576128003316e-05,1.0271821055596318e-05
21MAR2020,116.0,6000.0,1200.0,4800.0,,150.0,,,6.790638371615783e-07,8.059340221723677e-08,9.923616928142396e-05,1.4286913536039792e-05,1.4501394431430097e-05
22MAR2020,83.0,6600.0,2000.0,4800.0,,139.0,,,6.29265822436396e-07,5.766596882785045e-08,0.00010915978620956635,2.381152256006632e-05,1.4501394431430097e-05
23MAR2020,104.0,5600.0,1400.0,16400.0,,109.0,,,4.934530550040802e-07,7.225615371200538e-08,9.262042466266235e-05,1.6668065792046426e-05,4.9546430974052835e-05
